ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	gene.symbols
202124_s_at	-1.18725835339909	8.3991231156202	-7.40310791269076	8.78550363724359e-09	8.78440108609037e-05	9.9709993835882	TRAK2
206698_at	-2.27781752657142	7.4587046943479	-7.20872628007103	1.58177745315393e-08	8.78440108609037e-05	9.42686983950575	XK
200085_s_at	-0.528175837288353	12.588985944757	-6.94916814198675	3.48620933585863e-08	0.000111500600684032	8.69416336425045	TCEB2
204319_s_at	-0.804788710697457	11.8896827360358	-6.81459624240418	5.26250029605296e-08	0.000111500600684032	8.31176662580535	RGS10
213366_x_at	-1.20501846657123	9.0467398795416	-6.75482340570752	6.32129532056987e-08	0.000111500600684032	8.14141240678066	ATP5C1
218117_at	-1.03993447166739	9.0450096508638	-6.73571167530665	6.70322669717067e-08	0.000111500600684032	8.08688089870785	RBX1
207435_s_at	0.719283458409423	11.8244284728557	6.69949004043514	7.49202953691722e-08	0.000111500600684032	7.98344874702061	SRRM2
205711_x_at	-1.10131911974752	8.97818120239959	-6.67688514164133	8.03101472469843e-08	0.000111500600684032	7.91884697281515	ATP5C1
201470_at	-0.639061776882324	10.8273818259464	-6.32775346666806	2.35700568157303e-07	0.000273377842429669	6.91648316951091	GSTO1
200083_at	0.36873914770584	10.8086493407516	6.31375250200876	2.46131126703583e-07	0.000273377842429669	6.87612784037801	USP22
209339_at	-1.0689528818617	10.9444180121362	-6.24578577207577	3.03743879976356e-07	0.000275329447604907	6.68008032337085	SIAH2
206637_at	-2.24419055095589	6.53627795266934	-6.24191317223483	3.07407377085427e-07	0.000275329447604907	6.66890299173577	P2RY14
205950_s_at	-1.9404345850227	10.594843708476	-6.22667889426942	3.22254687932276e-07	0.000275329447604907	6.62492593385352	CA1
217801_at	-0.66611087800964	13.2164590352157	-6.18904720333746	3.62089943696168e-07	0.000287266643188096	6.51624771241862	ATP5E
208870_x_at	-1.01704358903686	9.14582699621767	-6.13015748480597	4.34578048156698e-07	0.000321790558725096	6.34605384876502	ATP5C1
222057_at	0.810651582368938	6.75398172138659	6.01979916356399	6.11923482213502e-07	0.000424789632309085	6.02675871748854	NOL12
221627_at	-1.79179487896044	5.20137923364752	-5.9502002343043	7.59438588610717e-07	0.00047673329507212	5.82519448569623	TRIM10
209276_s_at	-1.24580369924417	8.19033315386424	-5.92904772454822	8.10972590519269e-07	0.00047673329507212	5.76391046226563	GLRX
